target_id	length	eff_length	est_counts	tpm
gi|424037187|ref|NR_073460.1|	725	475.998	281.991	48412.5
gi|424037186|ref|NR_073459.1|	746	496.998	0.00922908	1.51751
gi|209977002|ref|NM_001136213.1|	2037	1788	425	19424.5
gi|52546690|ref|NM_001005239.1|	981	731.998	217	24225.8
gi|51093856|ref|NM_014406.4|	2065	1816	428	19260
gi|40445391|ref|NR_001591.1|	1483	1234	267	17681.7
gi|338970360|ref|NR_040115.1|	1539	1290	311	19701.5
gi|103471990|ref|NM_175878.3|	1700	1451	358	20162.5
gi|151301122|ref|NR_003607.1|	1381	1132	308	22234.8
gi|83716020|ref|NM_001037814.1|	2630	2381	500	17160.8
gi|168229201|ref|NR_015352.1|	2726	2477	546	18013.4
gi|411147377|ref|NM_014339.6|	8608	8359	1713	16746.8
gi|251823729|ref|NM_001163079.1|	3979	3730	801.221	17553.8
gi|251823728|ref|NM_031890.3|	5043	4794	1091.78	18610.8
gi|51093854|ref|NM_017829.5|	1734	1485	318.835	17545.6
gi|51093855|ref|NM_033070.2|	1809	1560	365.165	19129
gi|213512664|ref|NR_024483.1|	650	400.998	112.472	22920.8
gi|213512645|ref|NR_024482.1|	356	106.998	69.5281	53102.2
gi|29029551|ref|NM_177405.1|	3071	2822	639.38	18515.3
gi|29029549|ref|NM_017424.2|	3947	3698	907.62	20057
gi|345525396|ref|NR_038398.2|	1915	1666	354	17364.3
gi|270132321|ref|NM_031413.3|	5760	5511	1204	17853.5
gi|13899341|ref|NM_031481.1|	2087	1838	480	21341.4
gi|87159815|ref|NM_001039366.1|	1340	1091	217.763	16311.2
gi|87159817|ref|NM_001039367.1|	1316	1067	227.107	17393.8
gi|87159814|ref|NM_001696.3|	1406	1157	411.13	29038.5
gi|398707252|ref|NM_015367.3|	5132	4883	2253.77	37718.1
gi|398775379|ref|NM_001270731.1|	5062	4813	793.482	13472.5
gi|398775908|ref|NM_001270734.1|	4918	4669	235.404	4120.19
gi|398775088|ref|NM_001270729.1|	4975	4726	1291.83	22337.8
gi|398775598|ref|NM_001270732.1|	4905	4656	859.338	15082.7
gi|398777064|ref|NM_001270735.1|	4761	4512	784.072	14200.9
gi|398774965|ref|NM_001270728.1|	4797	4548	977.364	17561.6
gi|398774578|ref|NM_001270726.1|	4961	4712	764.04	13250.7
gi|398774790|ref|NM_001270727.1|	4817	4568	1050.24	18788.4
gi|398775209|ref|NM_001270730.1|	4804	4555	508.127	9116.16
gi|398776358|ref|NR_073068.1|	4730	4481	1081.83	19729.2
gi|398776655|ref|NR_073069.1|	4713	4464	1105.28	20233.7
gi|398774358|ref|NM_001270733.1|	4347	4098	1007.23	20085.6
gi|347300409|ref|NM_001244567.1|	2128	1879	332.137	14445
gi|347300417|ref|NM_001244570.1|	1936	1687	496.912	24070.9
gi|347300412|ref|NM_197967.2|	2147	1898	479.124	20629.1
gi|347300415|ref|NM_001244569.1|	2006	1757	374.148	17402
gi|347300411|ref|NM_001196.3|	2217	1968	449.536	18666.7
gi|347300422|ref|NM_001244572.1|	2254	2005	419.341	17091.5
gi|347300421|ref|NM_197966.2|	2535	2286	479.802	17152
gi|301171814|ref|NR_036168.1|	80	18.7059	10	43686.7
gi|209862788|ref|NM_015241.2|	9471	9222	1958.57	17355.7
gi|170172517|ref|NM_001122731.1|	3384	3135	610.826	15922.4
gi|209862792|ref|NM_001136004.1|	8091	7842	1738.6	18117.6
