Name	Length	EffectiveLength	TPM	NumReads
gi|424037187|ref|NR_073460.1|	725	475.352	19642.724938	111.233
gi|424037186|ref|NR_073459.1|	746	474.352	25441.641325	143.767
gi|209977002|ref|NM_001136213.1|	2037	1787.352	20288.909931	432.000
gi|52546690|ref|NM_001005239.1|	981	731.352	21463.488246	187.000
gi|51093856|ref|NM_014406.4|	2065	1801.352	15098.419285	324.000
gi|40445391|ref|NR_001591.1|	1483	1179.352	22847.920344	321.000
gi|338970360|ref|NR_040115.1|	1539	1289.352	19922.095209	306.000
gi|103471990|ref|NM_175878.3|	1700	1429.352	20965.928320	357.000
gi|151301122|ref|NR_003607.1|	1381	1131.352	18326.701235	247.000
gi|83716020|ref|NM_001037814.1|	2630	2380.352	18760.978683	532.000
gi|168229201|ref|NR_015352.1|	2726	2476.352	18813.328799	555.000
gi|411147377|ref|NM_014339.6|	8608	8358.352	18027.221833	1795.000
gi|251823729|ref|NM_001163079.1|	3979	3711.352	20826.471190	920.795
gi|251823728|ref|NM_031890.3|	5043	4775.352	17124.981631	974.205
gi|51093854|ref|NM_017829.5|	1734	1484.352	20165.410510	356.582
gi|51093855|ref|NM_033070.2|	1809	1559.352	21878.336362	406.418
gi|213512664|ref|NR_024483.1|	650	375.352	25271.150345	113.000
gi|213512645|ref|NR_024482.1|	356	89.374	65746.067640	70.000
gi|29029551|ref|NM_177405.1|	3071	2821.352	17975.407729	604.159
gi|29029549|ref|NM_017424.2|	3947	3682.352	19076.682925	836.841
gi|345525396|ref|NR_038398.2|	1915	1665.352	19960.628221	396.000
gi|270132321|ref|NM_031413.3|	5760	5510.352	17716.804238	1163.000
gi|13899341|ref|NM_031481.1|	2087	1837.352	18183.428026	398.000
gi|87159815|ref|NM_001039366.1|	1340	1090.352	22342.806789	290.215
gi|87159817|ref|NM_001039367.1|	1316	1066.352	19721.096876	250.522
gi|87159814|ref|NM_001696.3|	1406	1156.352	17514.012487	241.263
gi|398707252|ref|NM_015367.3|	5132	4882.352	19315.292664	1123.428
gi|398775379|ref|NM_001270731.1|	5062	4812.352	19495.852072	1117.673
gi|398775908|ref|NM_001270734.1|	4918	4668.352	21209.827533	1179.548
gi|398775088|ref|NM_001270729.1|	4975	4725.352	22306.861301	1255.705
gi|398775598|ref|NM_001270732.1|	4905	4655.352	20927.283294	1160.594
gi|398777064|ref|NM_001270735.1|	4761	4511.352	14717.617140	790.969
gi|398774965|ref|NM_001270728.1|	4797	4547.352	13649.706763	739.430
gi|398774578|ref|NM_001270726.1|	4961	4711.352	14516.355698	814.738
gi|398774790|ref|NM_001270727.1|	4817	4567.352	14791.240991	804.793
gi|398775209|ref|NM_001270730.1|	4804	4554.352	15616.694230	847.287
gi|398776358|ref|NR_073068.1|	4730	4480.352	16986.435760	906.629
gi|398776655|ref|NR_073069.1|	4713	4463.352	18738.723085	996.360
gi|398774358|ref|NM_001270733.1|	4347	4097.352	18353.362251	895.847
gi|347300409|ref|NM_001244567.1|	2128	1862.352	20996.996673	465.837
gi|347300417|ref|NM_001244570.1|	1936	1670.352	18723.921746	372.580
gi|347300412|ref|NM_197967.2|	2147	1881.352	18801.134798	421.375
gi|347300415|ref|NM_001244569.1|	2006	1740.352	15961.199025	330.916
gi|347300411|ref|NM_001196.3|	2217	1951.352	17730.110766	412.156
gi|347300422|ref|NM_001244572.1|	2254	1988.352	17697.274808	419.194
gi|347300421|ref|NM_197966.2|	2535	2269.352	20527.244145	554.942
gi|301171814|ref|NR_036168.1|	80	80.000	24133.640665	23.000
gi|209862788|ref|NM_015241.2|	9471	9192.352	17204.193022	1883.979
gi|170172517|ref|NM_001122731.1|	3384	3116.352	17155.678276	636.897
gi|209862792|ref|NM_001136004.1|	8091	7823.352	17340.710179	1616.124
