Name	Length	EffectiveLength	TPM	NumReads
gi|424037187|ref|NR_073460.1|	725	474.966	46962.513820	257.999
gi|424037186|ref|NR_073459.1|	746	473.966	0.144403	0.001
gi|209977002|ref|NM_001136213.1|	2037	1786.966	19207.457384	397.000
gi|52546690|ref|NM_001005239.1|	981	730.966	23300.466608	197.000
gi|51093856|ref|NM_014406.4|	2065	1800.966	18722.108359	390.000
gi|40445391|ref|NR_001591.1|	1483	1178.966	19066.355891	260.000
gi|338970360|ref|NR_040115.1|	1539	1288.966	15896.536827	237.000
gi|103471990|ref|NM_175878.3|	1700	1428.966	21478.408719	355.000
gi|151301122|ref|NR_003607.1|	1381	1130.966	16970.672376	222.000
gi|83716020|ref|NM_001037814.1|	2630	2379.966	19652.698392	541.000
gi|168229201|ref|NR_015352.1|	2726	2475.966	17424.147854	499.000
gi|411147377|ref|NM_014339.6|	8608	8357.966	17171.300917	1660.000
gi|251823729|ref|NM_001163079.1|	3979	3710.966	15107.763123	648.472
gi|251823728|ref|NM_031890.3|	5043	4774.966	20378.940174	1125.528
gi|51093854|ref|NM_017829.5|	1734	1483.966	27344.805371	469.357
gi|51093855|ref|NM_033070.2|	1809	1558.966	18835.705749	339.643
gi|213512664|ref|NR_024483.1|	650	374.966	28590.728134	124.000
gi|213512645|ref|NR_024482.1|	356	88.983	45665.186804	47.000
gi|29029551|ref|NM_177405.1|	3071	2820.966	18833.353686	614.511
gi|29029549|ref|NM_017424.2|	3947	3681.966	20792.129600	885.489
gi|345525396|ref|NR_038398.2|	1915	1664.966	19939.832755	384.000
gi|270132321|ref|NM_031413.3|	5760	5509.966	17542.382999	1118.000
gi|13899341|ref|NM_031481.1|	2087	1836.966	19578.881380	416.000
gi|87159815|ref|NM_001039366.1|	1340	1089.966	21841.091154	275.354
gi|87159817|ref|NM_001039367.1|	1316	1065.966	18533.555245	228.511
gi|87159814|ref|NM_001696.3|	1406	1155.966	17436.461217	233.135
gi|398707252|ref|NM_015367.3|	5132	4881.966	20868.058559	1178.368
gi|398775379|ref|NM_001270731.1|	5062	4811.966	21958.059652	1222.140
gi|398775908|ref|NM_001270734.1|	4918	4667.966	16917.163990	913.397
gi|398775088|ref|NM_001270729.1|	4975	4724.966	19812.011805	1082.758
gi|398775598|ref|NM_001270732.1|	4905	4654.966	17381.586708	935.859
gi|398777064|ref|NM_001270735.1|	4761	4510.966	18253.696384	952.412
gi|398774965|ref|NM_001270728.1|	4797	4546.966	20124.826904	1058.420
gi|398774578|ref|NM_001270726.1|	4961	4710.966	11828.085361	644.509
gi|398774790|ref|NM_001270727.1|	4817	4566.966	25219.551232	1332.200
gi|398775209|ref|NM_001270730.1|	4804	4553.966	17144.769927	903.079
gi|398776358|ref|NR_073068.1|	4730	4479.966	13764.134578	713.227
gi|398776655|ref|NR_073069.1|	4713	4462.966	15668.157619	808.809
gi|398774358|ref|NM_001270733.1|	4347	4096.966	15274.446479	723.823
gi|347300409|ref|NM_001244567.1|	2128	1861.966	16424.753382	353.732
gi|347300417|ref|NM_001244570.1|	1936	1669.966	14586.906921	281.757
gi|347300412|ref|NM_197967.2|	2147	1880.966	17889.620181	389.212
gi|347300415|ref|NM_001244569.1|	2006	1739.966	22125.490994	445.285
gi|347300411|ref|NM_001196.3|	2217	1950.966	30853.866338	696.247
gi|347300422|ref|NM_001244572.1|	2254	1987.966	23589.844681	542.423
gi|347300421|ref|NM_197966.2|	2535	2268.966	18493.360097	485.342
gi|301171814|ref|NR_036168.1|	80	80.000	20533.327720	19.000
gi|209862788|ref|NM_015241.2|	9471	9191.966	18099.327080	1924.310
gi|170172517|ref|NM_001122731.1|	3384	3115.966	19535.499350	704.079
gi|209862792|ref|NM_001136004.1|	8091	7822.966	17379.825115	1572.610
