target_id	length	eff_length	est_counts	tpm
gi|424037187|ref|NR_073460.1|	725	476.271	272.991	47288
gi|424037186|ref|NR_073459.1|	746	497.271	0.00928348	1.54019
gi|209977002|ref|NM_001136213.1|	2037	1788.27	413	19053.5
gi|52546690|ref|NM_001005239.1|	981	732.271	205	23096.1
gi|51093856|ref|NM_014406.4|	2065	1816.27	389	17669.6
gi|40445391|ref|NR_001591.1|	1483	1234.27	310	20720.9
gi|338970360|ref|NR_040115.1|	1539	1290.27	295	18862.5
gi|103471990|ref|NM_175878.3|	1700	1451.27	390	22170.4
gi|151301122|ref|NR_003607.1|	1381	1132.27	218	15884.1
gi|83716020|ref|NM_001037814.1|	2630	2381.27	501	17357.5
gi|168229201|ref|NR_015352.1|	2726	2477.27	519	17284.3
gi|411147377|ref|NM_014339.6|	8608	8359.27	1763	17399.7
gi|251823729|ref|NM_001163079.1|	3979	3730.27	868.399	19206
gi|251823728|ref|NM_031890.3|	5043	4794.27	1085.6	18681.2
gi|51093854|ref|NM_017829.5|	1734	1485.27	422.055	23443.4
gi|51093855|ref|NM_033070.2|	1809	1560.27	373.945	19772.7
gi|213512664|ref|NR_024483.1|	650	401.271	127.301	26172.8
gi|213512645|ref|NR_024482.1|	356	107.271	19.6993	15150.4
gi|29029551|ref|NM_177405.1|	3071	2822.27	600.457	17552.6
gi|29029549|ref|NM_017424.2|	3947	3698.27	703.543	15694.5
gi|345525396|ref|NR_038398.2|	1915	1666.27	391	19359.2
gi|270132321|ref|NM_031413.3|	5760	5511.27	1137	17020.2
gi|13899341|ref|NM_031481.1|	2087	1838.27	438	19657.2
gi|87159815|ref|NM_001039366.1|	1340	1091.27	249.046	18828
gi|87159817|ref|NM_001039367.1|	1316	1067.27	205.625	15894.9
gi|87159814|ref|NM_001696.3|	1406	1157.27	340.329	24261.7
gi|398707252|ref|NM_015367.3|	5132	4883.27	1832.07	30952.1
gi|398775379|ref|NM_001270731.1|	5062	4813.27	1017.89	17446.9
gi|398775908|ref|NM_001270734.1|	4918	4669.27	363.638	6425.06
gi|398775088|ref|NM_001270729.1|	4975	4726.27	1011.27	17652.5
gi|398775598|ref|NM_001270732.1|	4905	4656.27	1010.77	17909
gi|398777064|ref|NM_001270735.1|	4761	4512.27	993.82	18170.6
gi|398774965|ref|NM_001270728.1|	4797	4548.27	708.618	12853.6
gi|398774578|ref|NM_001270726.1|	4961	4712.27	980.313	17162.9
gi|398774790|ref|NM_001270727.1|	4817	4568.27	815.698	14731.1
gi|398775209|ref|NM_001270730.1|	4804	4555.27	861.132	15596
gi|398776358|ref|NR_073068.1|	4730	4481.27	1007.59	18549.9
gi|398776655|ref|NR_073069.1|	4713	4464.27	1023.52	18914.8
gi|398774358|ref|NM_001270733.1|	4347	4098.27	1056.65	21271.1
gi|347300409|ref|NM_001244567.1|	2128	1879.27	438.364	19244.3
gi|347300417|ref|NM_001244570.1|	1936	1687.27	353.494	17284.4
gi|347300412|ref|NM_197967.2|	2147	1898.27	305.113	13260.5
gi|347300415|ref|NM_001244569.1|	2006	1757.27	475.812	22338.5
gi|347300411|ref|NM_001196.3|	2217	1968.27	623.391	26129.6
gi|347300422|ref|NM_001244572.1|	2254	2005.27	412.101	16954.6
gi|347300421|ref|NM_197966.2|	2535	2286.27	488.725	17635.8
gi|301171814|ref|NR_036168.1|	80	10.3846	10	79445
gi|209862788|ref|NM_015241.2|	9471	9222.27	1917.5	17153.6
gi|170172517|ref|NM_001122731.1|	3384	3135.27	732.622	19278
gi|209862792|ref|NM_001136004.1|	8091	7842.27	1535.88	16157.4
