Name	Length	EffectiveLength	TPM	NumReads
gi|424037187|ref|NR_073460.1|	725	474.978	55760.109601	303.000
gi|424037186|ref|NR_073459.1|	746	473.978	0.012925	0.000
gi|209977002|ref|NM_001136213.1|	2037	1786.978	17951.536040	367.000
gi|52546690|ref|NM_001005239.1|	981	730.978	24035.126828	201.000
gi|51093856|ref|NM_014406.4|	2065	1800.978	16938.376292	349.000
gi|40445391|ref|NR_001591.1|	1483	1178.978	20833.169321	281.000
gi|338970360|ref|NR_040115.1|	1539	1288.978	18784.039679	277.000
gi|103471990|ref|NM_175878.3|	1700	1428.978	21470.211131	351.000
gi|151301122|ref|NR_003607.1|	1381	1130.978	19166.916224	248.000
gi|83716020|ref|NM_001037814.1|	2630	2379.978	18289.893329	498.000
gi|168229201|ref|NR_015352.1|	2726	2475.978	19028.158392	539.000
gi|411147377|ref|NM_014339.6|	8608	8357.978	17130.399035	1638.000
gi|251823729|ref|NM_001163079.1|	3979	3710.978	18124.108891	769.467
gi|251823728|ref|NM_031890.3|	5043	4774.978	17985.825164	982.533
gi|51093854|ref|NM_017829.5|	1734	1483.978	20021.730511	339.918
gi|51093855|ref|NM_033070.2|	1809	1558.978	21758.959039	388.082
gi|213512664|ref|NR_024483.1|	650	374.978	21212.415569	91.000
gi|213512645|ref|NR_024482.1|	356	89.000	57944.979214	59.000
gi|29029551|ref|NM_177405.1|	3071	2820.978	17562.862631	566.814
gi|29029549|ref|NM_017424.2|	3947	3681.978	18734.979379	789.186
gi|345525396|ref|NR_038398.2|	1915	1664.978	17061.987283	325.000
gi|270132321|ref|NM_031413.3|	5760	5509.978	17640.452507	1112.000
gi|13899341|ref|NM_031481.1|	2087	1836.978	20270.310560	426.000
gi|87159815|ref|NM_001039366.1|	1340	1089.978	19379.335142	241.658
gi|87159817|ref|NM_001039367.1|	1316	1065.978	17418.354177	212.423
gi|87159814|ref|NM_001696.3|	1406	1155.978	21770.857826	287.919
gi|398707252|ref|NM_015367.3|	5132	4881.978	13641.999088	761.937
gi|398775379|ref|NM_001270731.1|	5062	4811.978	22496.694980	1238.476
gi|398775908|ref|NM_001270734.1|	4918	4667.978	13904.755914	742.570
gi|398775088|ref|NM_001270729.1|	4975	4724.978	19308.743287	1043.756
gi|398775598|ref|NM_001270732.1|	4905	4654.978	14814.631099	788.958
gi|398777064|ref|NM_001270735.1|	4761	4510.978	18741.502279	967.209
gi|398774965|ref|NM_001270728.1|	4797	4546.978	20929.989416	1088.772
gi|398774578|ref|NM_001270726.1|	4961	4710.978	17792.458522	958.942
gi|398774790|ref|NM_001270727.1|	4817	4566.978	20191.831305	1054.994
gi|398775209|ref|NM_001270730.1|	4804	4553.978	23509.648490	1224.848
gi|398776358|ref|NR_073068.1|	4730	4479.978	15112.159347	774.547
gi|398776655|ref|NR_073069.1|	4713	4462.978	19369.934725	989.004
gi|398774358|ref|NM_001270733.1|	4347	4096.978	16214.284014	759.988
gi|347300409|ref|NM_001244567.1|	2128	1861.978	19098.954724	406.845
gi|347300417|ref|NM_001244570.1|	1936	1669.978	24351.294589	465.241
gi|347300412|ref|NM_197967.2|	2147	1880.978	18058.115360	388.599
gi|347300415|ref|NM_001244569.1|	2006	1739.978	24321.292894	484.145
gi|347300411|ref|NM_001196.3|	2217	1950.978	21703.397018	484.424
gi|347300422|ref|NM_001244572.1|	2254	1987.978	18421.780471	418.975
gi|347300421|ref|NM_197966.2|	2535	2268.978	21101.981907	547.771
gi|301171814|ref|NR_036168.1|	80	80.000	6555.654883	6.000
gi|209862788|ref|NM_015241.2|	9471	9191.978	18430.406057	1938.158
gi|170172517|ref|NM_001122731.1|	3384	3115.978	19685.872450	701.769
gi|209862792|ref|NM_001136004.1|	8091	7822.978	15967.510492	1429.073
