target_id	length	eff_length	est_counts	tpm
gi|424037187|ref|NR_073460.1|	725	477.095	355.991	50836.9
gi|424037186|ref|NR_073459.1|	746	498.095	0.00910892	1.24595
gi|209977002|ref|NM_001136213.1|	2037	1789.09	420	15994.1
gi|52546690|ref|NM_001005239.1|	981	733.095	234	21747.1
gi|51093856|ref|NM_014406.4|	2065	1817.09	453	16985
gi|40445391|ref|NR_001591.1|	1483	1235.09	304	16769.4
gi|338970360|ref|NR_040115.1|	1539	1291.09	335	17677.9
gi|103471990|ref|NM_175878.3|	1700	1452.09	350	16421.7
gi|151301122|ref|NR_003607.1|	1381	1133.09	242	14551
gi|83716020|ref|NM_001037814.1|	2630	2382.09	529	15130.1
gi|168229201|ref|NR_015352.1|	2726	2478.09	496	13636.7
gi|411147377|ref|NM_014339.6|	8608	8360.09	1513	12330.3
gi|251823729|ref|NM_001163079.1|	3979	3731.09	748.436	13666.7
gi|251823728|ref|NM_031890.3|	5043	4795.09	1060.56	15069
gi|51093854|ref|NM_017829.5|	1734	1486.09	301.584	13826.3
gi|51093855|ref|NM_033070.2|	1809	1561.09	314.416	13722.1
gi|213512664|ref|NR_024483.1|	650	402.095	154.801	26229.5
gi|213512645|ref|NR_024482.1|	356	108.095	53.1992	33531
gi|29029551|ref|NM_177405.1|	3071	2823.09	685.991	16555.3
gi|29029549|ref|NM_017424.2|	3947	3699.09	786.009	14477
gi|345525396|ref|NR_038398.2|	1915	1667.09	476	19453.2
gi|270132321|ref|NM_031413.3|	5760	5512.09	1134	14016.6
gi|13899341|ref|NM_031481.1|	2087	1839.09	446	16522.5
gi|87159815|ref|NM_001039366.1|	1340	1092.09	162.226	10120.5
gi|87159817|ref|NM_001039367.1|	1316	1068.09	189.251	12071.8
gi|87159814|ref|NM_001696.3|	1406	1158.09	406.524	23915.9
gi|398707252|ref|NM_015367.3|	5132	4884.09	1691.34	23593.4
gi|398775379|ref|NM_001270731.1|	5062	4814.09	1092.68	15464
gi|398775908|ref|NM_001270734.1|	4918	4670.09	337.102	4917.91
gi|398775088|ref|NM_001270729.1|	4975	4727.09	1373.27	19792.7
gi|398775598|ref|NM_001270732.1|	4905	4657.09	973.745	14245.4
gi|398777064|ref|NM_001270735.1|	4761	4513.09	690.731	10427.5
gi|398774965|ref|NM_001270728.1|	4797	4549.09	844.296	12644.9
gi|398774578|ref|NM_001270726.1|	4961	4713.09	1184.33	17120.3
gi|398774790|ref|NM_001270727.1|	4817	4569.09	744.69	11104.3
gi|398775209|ref|NM_001270730.1|	4804	4556.09	555.95	8313.57
gi|398776358|ref|NR_073068.1|	4730	4482.09	842.865	12812.1
gi|398776655|ref|NR_073069.1|	4713	4465.09	1145.14	17473.2
gi|398774358|ref|NM_001270733.1|	4347	4099.09	1038.88	17267.2
gi|347300409|ref|NM_001244567.1|	2128	1880.09	343.39	12443.8
gi|347300417|ref|NM_001244570.1|	1936	1688.09	302.917	12225.6
gi|347300412|ref|NM_197967.2|	2147	1899.09	626.476	22475.2
gi|347300415|ref|NM_001244569.1|	2006	1758.09	335.769	13012
gi|347300411|ref|NM_001196.3|	2217	1969.09	538.302	18625.4
gi|347300422|ref|NM_001244572.1|	2254	2006.09	364.653	12384.4
gi|347300421|ref|NM_197966.2|	2535	2287.09	485.492	14462.5
gi|301171814|ref|NR_036168.1|	80	8.78125	27	209485
gi|209862788|ref|NM_015241.2|	9471	9223.09	1880.41	13890.6
gi|170172517|ref|NM_001122731.1|	3384	3136.09	770.51	16739.2
gi|209862792|ref|NM_001136004.1|	8091	7843.09	1591.08	13821.3
