target_id	length	eff_length	est_counts	tpm
gi|424037187|ref|NR_073460.1|	725	476.54	258.991	39049.4
gi|424037186|ref|NR_073459.1|	746	497.54	0.00899704	1.29927
gi|209977002|ref|NM_001136213.1|	2037	1788.54	397	15948.6
gi|52546690|ref|NM_001005239.1|	981	732.54	197	19322.5
gi|51093856|ref|NM_014406.4|	2065	1816.54	390	15425.8
gi|40445391|ref|NR_001591.1|	1483	1234.54	264	15364.8
gi|338970360|ref|NR_040115.1|	1539	1290.54	237	13194.9
gi|103471990|ref|NM_175878.3|	1700	1451.54	360	17819.8
gi|151301122|ref|NR_003607.1|	1381	1132.54	222	14084.1
gi|83716020|ref|NM_001037814.1|	2630	2381.54	541	16321.8
gi|168229201|ref|NR_015352.1|	2726	2477.54	499	14471.4
gi|411147377|ref|NM_014339.6|	8608	8359.54	1660	14267.7
gi|251823729|ref|NM_001163079.1|	3979	3730.54	638.147	12290.8
gi|251823728|ref|NM_031890.3|	5043	4794.54	1135.85	17021.8
gi|51093854|ref|NM_017829.5|	1734	1485.54	491.641	23779
gi|51093855|ref|NM_033070.2|	1809	1560.54	317.359	14611.8
gi|213512664|ref|NR_024483.1|	650	401.54	144.579	25870.5
gi|213512645|ref|NR_024482.1|	356	107.54	35.4215	23666
gi|29029551|ref|NM_177405.1|	3071	2822.54	622.603	15849
gi|29029549|ref|NM_017424.2|	3947	3698.54	877.397	17044.9
gi|345525396|ref|NR_038398.2|	1915	1666.54	384	16555.6
gi|270132321|ref|NM_031413.3|	5760	5511.54	1118	14574.7
gi|13899341|ref|NM_031481.1|	2087	1838.54	416	16257.3
gi|87159815|ref|NM_001039366.1|	1340	1091.54	234.168	15414
gi|87159817|ref|NM_001039367.1|	1316	1067.54	182.67	12294.5
gi|87159814|ref|NM_001696.3|	1406	1157.54	319.162	19810.9
gi|398707252|ref|NM_015367.3|	5132	4883.54	2116.67	31142
gi|398775379|ref|NM_001270731.1|	5062	4813.54	1192.21	17795.9
gi|398775908|ref|NM_001270734.1|	4918	4669.54	374.469	5761.97
gi|398775088|ref|NM_001270729.1|	4975	4726.54	1274.25	19370.5
gi|398775598|ref|NM_001270732.1|	4905	4656.54	794.94	12265.9
gi|398777064|ref|NM_001270735.1|	4761	4512.54	822.651	13098.6
gi|398774965|ref|NM_001270728.1|	4797	4548.54	870.96	13758
gi|398774578|ref|NM_001270726.1|	4961	4712.54	715.996	10916.5
gi|398774790|ref|NM_001270727.1|	4817	4568.54	1172.11	18434
gi|398775209|ref|NM_001270730.1|	4804	4555.54	577.307	9105.35
gi|398776358|ref|NR_073068.1|	4730	4481.54	844.289	13536.1
gi|398776655|ref|NR_073069.1|	4713	4464.54	913.621	14703.4
gi|398774358|ref|NM_001270733.1|	4347	4098.54	792.527	13893.6
gi|347300409|ref|NM_001244567.1|	2128	1879.54	247.16	9448.36
gi|347300417|ref|NM_001244570.1|	1936	1687.54	270.375	11511.8
gi|347300412|ref|NM_197967.2|	2147	1898.54	377.248	14277
gi|347300415|ref|NM_001244569.1|	2006	1757.54	371.726	15196.6
gi|347300411|ref|NM_001196.3|	2217	1968.54	872.83	31857.7
gi|347300422|ref|NM_001244572.1|	2254	2005.54	476.65	17076.5
gi|347300421|ref|NM_197966.2|	2535	2286.54	581.01	18257.2
gi|301171814|ref|NR_036168.1|	80	6.72727	19	202929
gi|209862788|ref|NM_015241.2|	9471	9222.54	1924.02	14989.5
gi|170172517|ref|NM_001122731.1|	3384	3135.54	688.117	15768.1
gi|209862792|ref|NM_001136004.1|	8091	7842.54	1592.87	14593.3
