target_id	length	eff_length	est_counts	tpm
gi|424037187|ref|NR_073460.1|	725	476.375	245.991	38013.2
gi|424037186|ref|NR_073459.1|	746	497.375	0.00932315	1.37989
gi|209977002|ref|NM_001136213.1|	2037	1788.37	434	17864.7
gi|52546690|ref|NM_001005239.1|	981	732.375	169	16987.1
gi|51093856|ref|NM_014406.4|	2065	1816.37	387	15684.5
gi|40445391|ref|NR_001591.1|	1483	1234.37	270	16102.1
gi|338970360|ref|NR_040115.1|	1539	1290.37	264	15061
gi|103471990|ref|NM_175878.3|	1700	1451.37	351	17803
gi|151301122|ref|NR_003607.1|	1381	1132.37	274	17812.5
gi|83716020|ref|NM_001037814.1|	2630	2381.37	569	17589.3
gi|168229201|ref|NR_015352.1|	2726	2477.37	584	17353.5
gi|411147377|ref|NM_014339.6|	8608	8359.37	1733	15261.2
gi|251823729|ref|NM_001163079.1|	3979	3730.37	716.262	14134.6
gi|251823728|ref|NM_031890.3|	5043	4794.37	1013.74	15565.3
gi|51093854|ref|NM_017829.5|	1734	1485.37	370.407	18357.3
gi|51093855|ref|NM_033070.2|	1809	1560.37	347.593	16398.6
gi|213512664|ref|NR_024483.1|	650	401.375	135.603	24870.4
gi|213512645|ref|NR_024482.1|	356	107.375	62.3974	42778.8
gi|29029551|ref|NM_177405.1|	3071	2822.37	587.853	15332.7
gi|29029549|ref|NM_017424.2|	3947	3698.37	725.147	14433.8
gi|345525396|ref|NR_038398.2|	1915	1666.37	359	15859.4
gi|270132321|ref|NM_031413.3|	5760	5511.37	1082	14452.1
gi|13899341|ref|NM_031481.1|	2087	1838.37	400	16017.4
gi|87159815|ref|NM_001039366.1|	1340	1091.37	256.652	17311.6
gi|87159817|ref|NM_001039367.1|	1316	1067.37	281.629	19423.4
gi|87159814|ref|NM_001696.3|	1406	1157.37	369.719	23516
gi|398707252|ref|NM_015367.3|	5132	4883.37	2112.12	31839.3
gi|398775379|ref|NM_001270731.1|	5062	4813.37	1111.32	16996.4
gi|398775908|ref|NM_001270734.1|	4918	4669.37	313.353	4940.15
gi|398775088|ref|NM_001270729.1|	4975	4726.37	1190.76	18546.5
gi|398775598|ref|NM_001270732.1|	4905	4656.37	842.206	13314.8
gi|398777064|ref|NM_001270735.1|	4761	4512.37	740.559	12081.5
gi|398774965|ref|NM_001270728.1|	4797	4548.37	470.229	7610.59
gi|398774578|ref|NM_001270726.1|	4961	4712.37	535.041	8358.19
gi|398774790|ref|NM_001270727.1|	4817	4568.37	865.549	13947.5
gi|398775209|ref|NM_001270730.1|	4804	4555.37	794.322	12836.2
gi|398776358|ref|NR_073068.1|	4730	4481.37	1039.47	17075.1
gi|398776655|ref|NR_073069.1|	4713	4464.37	1078.9	17790.4
gi|398774358|ref|NM_001270733.1|	4347	4098.37	1091.17	19599.5
gi|347300409|ref|NM_001244567.1|	2128	1879.37	396.785	15542
gi|347300417|ref|NM_001244570.1|	1936	1687.37	254.583	11106.7
gi|347300412|ref|NM_197967.2|	2147	1898.37	386.456	14985.9
gi|347300415|ref|NM_001244569.1|	2006	1757.37	443.721	18587.1
gi|347300411|ref|NM_001196.3|	2217	1968.37	699.959	26177.6
gi|347300422|ref|NM_001244572.1|	2254	2005.37	381.627	14009
gi|347300421|ref|NM_197966.2|	2535	2286.37	629.869	20280
gi|301171814|ref|NR_036168.1|	80	9.33333	21	165633
gi|209862788|ref|NM_015241.2|	9471	9222.37	1925.55	15370.1
gi|170172517|ref|NM_001122731.1|	3384	3135.37	582.348	13672.8
gi|209862792|ref|NM_001136004.1|	8091	7842.37	1674.1	15714.5
