target_id	length	eff_length	est_counts	tpm
gi|424037187|ref|NR_073460.1|	725	476.543	325.991	50543.3
gi|424037186|ref|NR_073459.1|	746	497.543	0.00879789	1.30649
gi|209977002|ref|NM_001136213.1|	2037	1788.54	341	14086.9
gi|52546690|ref|NM_001005239.1|	981	732.543	266	26829.2
gi|51093856|ref|NM_014406.4|	2065	1816.54	337	13707.1
gi|40445391|ref|NR_001591.1|	1483	1234.54	379	22682.6
gi|338970360|ref|NR_040115.1|	1539	1290.54	281	16087.7
gi|103471990|ref|NM_175878.3|	1700	1451.54	376	19138.9
gi|151301122|ref|NR_003607.1|	1381	1132.54	315	20550.2
gi|83716020|ref|NM_001037814.1|	2630	2381.54	570	17683.8
gi|168229201|ref|NR_015352.1|	2726	2477.54	583	17386.3
gi|411147377|ref|NM_014339.6|	8608	8359.54	1820	16086
gi|251823729|ref|NM_001163079.1|	3979	3730.54	709.283	14047.8
gi|251823728|ref|NM_031890.3|	5043	4794.54	1027.72	15837.5
gi|51093854|ref|NM_017829.5|	1734	1485.54	279.093	13881.1
gi|51093855|ref|NM_033070.2|	1809	1560.54	373.907	17703
gi|213512664|ref|NR_024483.1|	650	401.543	114.604	21087.6
gi|213512645|ref|NR_024482.1|	356	107.543	83.3962	57295.8
gi|29029551|ref|NM_177405.1|	3071	2822.54	678.949	17772.8
gi|29029549|ref|NM_017424.2|	3947	3698.54	856.051	17101.3
gi|345525396|ref|NR_038398.2|	1915	1666.54	314	13921.1
gi|270132321|ref|NM_031413.3|	5760	5511.54	1211	16234.2
gi|13899341|ref|NM_031481.1|	2087	1838.54	479	19249.6
gi|87159815|ref|NM_001039366.1|	1340	1091.54	202.436	13702.7
gi|87159817|ref|NM_001039367.1|	1316	1067.54	234.411	16223.8
gi|87159814|ref|NM_001696.3|	1406	1157.54	368.153	23499.1
gi|398707252|ref|NM_015367.3|	5132	4883.54	2007.96	30379.5
gi|398775379|ref|NM_001270731.1|	5062	4813.54	892.269	13695.9
gi|398775908|ref|NM_001270734.1|	4918	4669.54	454.414	7190.14
gi|398775088|ref|NM_001270729.1|	4975	4726.54	999.694	15627.3
gi|398775598|ref|NM_001270732.1|	4905	4656.54	947.818	15039.1
gi|398777064|ref|NM_001270735.1|	4761	4512.54	1016.42	16642.3
gi|398774965|ref|NM_001270728.1|	4797	4548.54	766.668	12453.6
gi|398774578|ref|NM_001270726.1|	4961	4712.54	1359.08	21308.3
gi|398774790|ref|NM_001270727.1|	4817	4568.54	726.242	11745.3
gi|398775209|ref|NM_001270730.1|	4804	4555.54	426.15	6911.65
gi|398776358|ref|NR_073068.1|	4730	4481.54	1052.91	17359
gi|398776655|ref|NR_073069.1|	4713	4464.54	1023.02	16930.5
gi|398774358|ref|NM_001270733.1|	4347	4098.54	1279.35	23063.2
gi|347300409|ref|NM_001244567.1|	2128	1879.54	291.768	11469.5
gi|347300417|ref|NM_001244570.1|	1936	1687.54	230.898	10109.4
gi|347300412|ref|NM_197967.2|	2147	1898.54	375.982	14632.1
gi|347300415|ref|NM_001244569.1|	2006	1757.54	439.101	18459.4
gi|347300411|ref|NM_001196.3|	2217	1968.54	608.443	22836.8
gi|347300422|ref|NM_001244572.1|	2254	2005.54	379.122	13967.1
gi|347300421|ref|NM_197966.2|	2535	2286.54	731.686	23643.1
gi|301171814|ref|NR_036168.1|	80	7.35714	12	120512
gi|209862788|ref|NM_015241.2|	9471	9222.54	1902.9	15244.9
gi|170172517|ref|NM_001122731.1|	3384	3135.54	575.885	13570.1
gi|209862792|ref|NM_001136004.1|	8091	7842.54	1578.21	14868.6
