Name	Length	EffectiveLength	TPM	NumReads
gi|424037187|ref|NR_073460.1|	725	475.345	49161.388769	276.000
gi|209977002|ref|NM_001136213.1|	2037	1787.345	21222.344274	448.000
gi|52546690|ref|NM_001005239.1|	981	731.345	19681.150929	170.000
gi|51093856|ref|NM_014406.4|	2065	1801.345	17955.197849	382.000
gi|40445391|ref|NR_001591.1|	1483	1179.345	22758.423347	317.000
gi|338970360|ref|NR_040115.1|	1539	1289.345	24297.206861	370.000
gi|103471990|ref|NM_175878.3|	1700	1429.345	23575.980306	398.000
gi|151301122|ref|NR_003607.1|	1381	1131.345	20206.564808	270.000
gi|83716020|ref|NM_001037814.1|	2630	2380.345	16433.337565	462.000
gi|168229201|ref|NR_015352.1|	2726	2476.345	16651.045846	487.000
gi|411147377|ref|NM_014339.6|	8608	8358.345	18497.120990	1826.000
gi|251823729|ref|NM_001163079.1|	3979	3711.345	17324.861905	759.412
gi|251823728|ref|NM_031890.3|	5043	4775.345	19726.648694	1112.588
gi|51093854|ref|NM_017829.5|	1734	1484.345	15900.437470	278.753
gi|51093855|ref|NM_033070.2|	1809	1559.345	25859.100802	476.247
gi|213512664|ref|NR_024483.1|	650	375.345	27294.731120	121.000
gi|213512645|ref|NR_024482.1|	356	89.390	49253.688622	52.000
gi|29029551|ref|NM_177405.1|	3071	2821.345	20392.070596	679.507
gi|29029549|ref|NM_017424.2|	3947	3682.345	15991.605894	695.493
gi|345525396|ref|NR_038398.2|	1915	1665.345	19980.763116	393.000
gi|270132321|ref|NM_031413.3|	5760	5510.345	17009.537220	1107.000
gi|13899341|ref|NM_031481.1|	2087	1837.345	19170.186917	416.000
gi|87159815|ref|NM_001039366.1|	1340	1090.345	19493.175209	251.028
gi|87159817|ref|NM_001039367.1|	1316	1066.345	23281.475906	293.214
gi|87159814|ref|NM_001696.3|	1406	1156.345	18946.538578	258.758
gi|398707252|ref|NM_015367.3|	5132	4882.345	20534.670201	1184.111
gi|398775379|ref|NM_001270731.1|	5062	4812.345	15216.676342	864.874
gi|398775908|ref|NM_001270734.1|	4918	4668.345	19198.272652	1058.526
gi|398775088|ref|NM_001270729.1|	4975	4725.345	15427.304894	860.994
gi|398775598|ref|NM_001270732.1|	4905	4655.345	21151.816954	1162.990
gi|398777064|ref|NM_001270735.1|	4761	4511.345	15793.615630	841.519
gi|398774965|ref|NM_001270728.1|	4797	4547.345	18795.197209	1009.441
gi|398774578|ref|NM_001270726.1|	4961	4711.345	18834.816846	1048.052
gi|398774790|ref|NM_001270727.1|	4817	4567.345	18513.182480	998.668
gi|398775209|ref|NM_001270730.1|	4804	4554.345	19740.109197	1061.822
gi|398776358|ref|NR_073068.1|	4730	4480.345	16488.864016	872.526
gi|398776655|ref|NR_073069.1|	4713	4463.345	17587.722571	927.142
gi|398774358|ref|NM_001270733.1|	4347	4097.345	18108.860278	876.335
gi|347300409|ref|NM_001244567.1|	2128	1862.345	12273.365367	269.960
gi|347300417|ref|NM_001244570.1|	1936	1670.345	24640.837598	486.114
gi|347300412|ref|NM_197967.2|	2147	1881.345	17852.888812	396.692
gi|347300415|ref|NM_001244569.1|	2006	1740.345	18360.639876	377.398
gi|347300411|ref|NM_001196.3|	2217	1951.345	19367.631150	446.362
gi|347300422|ref|NM_001244572.1|	2254	1988.345	17821.239638	418.510
gi|347300421|ref|NM_197966.2|	2535	2269.345	21153.344440	566.964
gi|301171814|ref|NR_036168.1|	80	80.000	15875.408501	15.000
gi|209862788|ref|NM_015241.2|	9471	9192.345	18130.977933	1968.448
gi|170172517|ref|NM_001122731.1|	3384	3116.345	20655.499264	760.252
gi|209862792|ref|NM_001136004.1|	8091	7823.345	18412.474560	1701.300
