target_id	length	eff_length	est_counts	tpm
gi|424037187|ref|NR_073460.1|	725	476.356	251.991	32362.4
gi|424037186|ref|NR_073459.1|	746	497.356	0.00914409	1.12476
gi|209977002|ref|NM_001136213.1|	2037	1788.36	453	15496.4
gi|52546690|ref|NM_001005239.1|	981	732.356	196	16372.7
gi|51093856|ref|NM_014406.4|	2065	1816.36	424	14280.8
gi|40445391|ref|NR_001591.1|	1483	1234.36	278	13778.2
gi|338970360|ref|NR_040115.1|	1539	1290.36	339	16072.3
gi|103471990|ref|NM_175878.3|	1700	1451.36	333	14036.4
gi|151301122|ref|NR_003607.1|	1381	1132.36	246	13290.4
gi|83716020|ref|NM_001037814.1|	2630	2381.36	496	12742.2
gi|168229201|ref|NR_015352.1|	2726	2477.36	535	13211.5
gi|411147377|ref|NM_014339.6|	8608	8359.36	1708	12499.8
gi|251823729|ref|NM_001163079.1|	3979	3730.36	692.118	11350.5
gi|251823728|ref|NM_031890.3|	5043	4794.36	911.882	11635.8
gi|51093854|ref|NM_017829.5|	1734	1485.36	364.965	15031.7
gi|51093855|ref|NM_033070.2|	1809	1560.36	442.035	17330.8
gi|213512664|ref|NR_024483.1|	650	401.356	101.952	15540.1
gi|213512645|ref|NR_024482.1|	356	107.356	45.0477	25670.5
gi|29029551|ref|NM_177405.1|	3071	2822.36	621.674	13475.3
gi|29029549|ref|NM_017424.2|	3947	3698.36	772.326	12775.5
gi|345525396|ref|NR_038398.2|	1915	1666.36	383	14061.1
gi|270132321|ref|NM_031413.3|	5760	5511.36	1191	13220.3
gi|13899341|ref|NM_031481.1|	2087	1838.36	469	15607.4
gi|87159815|ref|NM_001039366.1|	1340	1091.36	208.32	11677.5
gi|87159817|ref|NM_001039367.1|	1316	1067.36	196.351	11254.1
gi|87159814|ref|NM_001696.3|	1406	1157.36	353.329	18676.7
gi|398707252|ref|NM_015367.3|	5132	4883.36	1901.1	23816.3
gi|398775379|ref|NM_001270731.1|	5062	4813.36	877.256	11149.8
gi|398775908|ref|NM_001270734.1|	4918	4669.36	816.385	10696.1
gi|398775088|ref|NM_001270729.1|	4975	4726.36	1285.48	16639
gi|398775598|ref|NM_001270732.1|	4905	4656.36	924.583	12147.5
gi|398777064|ref|NM_001270735.1|	4761	4512.36	685.296	9290.98
gi|398774965|ref|NM_001270728.1|	4797	4548.36	666.195	8960.53
gi|398774578|ref|NM_001270726.1|	4961	4712.36	679.432	8820.53
gi|398774790|ref|NM_001270727.1|	4817	4568.36	968.467	12969.2
gi|398775209|ref|NM_001270730.1|	4804	4555.36	757.387	10171.4
gi|398776358|ref|NR_073068.1|	4730	4481.36	698.931	9541.4
gi|398776655|ref|NR_073069.1|	4713	4464.36	1264.27	17324.8
gi|398774358|ref|NM_001270733.1|	4347	4098.36	866.211	12930.1
gi|347300409|ref|NM_001244567.1|	2128	1879.36	475.19	15468.4
gi|347300417|ref|NM_001244570.1|	1936	1687.36	434.809	15764.5
gi|347300412|ref|NM_197967.2|	2147	1898.36	262.673	8464.96
gi|347300415|ref|NM_001244569.1|	2006	1757.36	316.642	11022.9
gi|347300411|ref|NM_001196.3|	2217	1968.36	358.368	11138.1
gi|347300422|ref|NM_001244572.1|	2254	2005.36	465.545	14202.2
gi|347300421|ref|NM_197966.2|	2535	2286.36	517.773	13854.2
gi|301171814|ref|NR_036168.1|	80	4.85714	26	327476
gi|209862788|ref|NM_015241.2|	9471	9222.36	1810.99	12013.3
gi|170172517|ref|NM_001122731.1|	3384	3135.36	619.872	12094.9
gi|209862792|ref|NM_001136004.1|	8091	7842.36	1614.14	12591.6
