target_id	length	eff_length	est_counts	tpm
gi|424037187|ref|NR_073460.1|	725	476.841	275.991	45632.7
gi|424037186|ref|NR_073459.1|	746	497.841	0.00921475	1.45931
gi|209977002|ref|NM_001136213.1|	2037	1788.84	430	18951.9
gi|52546690|ref|NM_001005239.1|	981	732.841	197	21194
gi|51093856|ref|NM_014406.4|	2065	1816.84	410	17791.9
gi|40445391|ref|NR_001591.1|	1483	1234.84	302	19282
gi|338970360|ref|NR_040115.1|	1539	1290.84	251	15330.5
gi|103471990|ref|NM_175878.3|	1700	1451.84	330	17920.5
gi|151301122|ref|NR_003607.1|	1381	1132.84	221	15380.8
gi|83716020|ref|NM_001037814.1|	2630	2381.84	469	15524.4
gi|168229201|ref|NR_015352.1|	2726	2477.84	556	17691.2
gi|411147377|ref|NM_014339.6|	8608	8359.84	1781	16796.6
gi|251823729|ref|NM_001163079.1|	3979	3730.84	783.558	16558.5
gi|251823728|ref|NM_031890.3|	5043	4794.84	964.442	15858.4
gi|51093854|ref|NM_017829.5|	1734	1485.84	377.872	20050.6
gi|51093855|ref|NM_033070.2|	1809	1560.84	374.128	18898.1
gi|213512664|ref|NR_024483.1|	650	401.841	134.559	26400.6
gi|213512645|ref|NR_024482.1|	356	107.841	54.4412	39801.3
gi|29029551|ref|NM_177405.1|	3071	2822.84	631.428	17635.7
gi|29029549|ref|NM_017424.2|	3947	3698.84	827.572	17639.9
gi|345525396|ref|NR_038398.2|	1915	1666.84	357	16886.1
gi|270132321|ref|NM_031413.3|	5760	5511.84	1266	18108.9
gi|13899341|ref|NM_031481.1|	2087	1838.84	368	15778.3
gi|87159815|ref|NM_001039366.1|	1340	1091.84	199.642	14416.1
gi|87159817|ref|NM_001039367.1|	1316	1067.84	170.519	12589.9
gi|87159814|ref|NM_001696.3|	1406	1157.84	459.839	31312.1
gi|398707252|ref|NM_015367.3|	5132	4883.84	2155.25	34793.1
gi|398775379|ref|NM_001270731.1|	5062	4813.84	776.599	12719.2
gi|398775908|ref|NM_001270734.1|	4918	4669.84	733.241	12379.4
gi|398775088|ref|NM_001270729.1|	4975	4726.84	987.804	16476.1
gi|398775598|ref|NM_001270732.1|	4905	4656.84	842.909	14270.7
gi|398777064|ref|NM_001270735.1|	4761	4512.84	558.896	9764.21
gi|398774965|ref|NM_001270728.1|	4797	4548.84	794.041	13762.5
gi|398774578|ref|NM_001270726.1|	4961	4712.84	1318.89	22063.8
gi|398774790|ref|NM_001270727.1|	4817	4568.84	567.137	9786.74
gi|398775209|ref|NM_001270730.1|	4804	4555.84	643.183	11130.7
gi|398776358|ref|NR_073068.1|	4730	4481.84	1019.86	17940.8
gi|398776655|ref|NR_073069.1|	4713	4464.84	1133.98	20024.2
gi|398774358|ref|NM_001270733.1|	4347	4098.84	1117.21	21489.6
gi|347300409|ref|NM_001244567.1|	2128	1879.84	464.509	19481.8
gi|347300417|ref|NM_001244570.1|	1936	1687.84	201.768	9424.89
gi|347300412|ref|NM_197967.2|	2147	1898.84	357.196	14831.1
gi|347300415|ref|NM_001244569.1|	2006	1757.84	385.332	17282.7
gi|347300411|ref|NM_001196.3|	2217	1968.84	603.229	24156.1
gi|347300422|ref|NM_001244572.1|	2254	2005.84	357.537	14053.4
gi|347300421|ref|NM_197966.2|	2535	2286.84	513.428	17701.1
gi|301171814|ref|NR_036168.1|	80	9.88889	14	111619
gi|209862788|ref|NM_015241.2|	9471	9222.84	2033.91	17386.9
gi|170172517|ref|NM_001122731.1|	3384	3135.84	671.554	16884.3
gi|209862792|ref|NM_001136004.1|	8091	7842.84	1705.54	17145.3
