Name	Length	EffectiveLength	TPM	NumReads
gi|424037187|ref|NR_073460.1|	725	475.425	49643.858102	271.000
gi|424037186|ref|NR_073459.1|	746	474.425	0.013545	0.000
gi|209977002|ref|NM_001136213.1|	2037	1787.425	20123.364006	413.000
gi|52546690|ref|NM_001005239.1|	981	731.425	24409.699030	205.000
gi|51093856|ref|NM_014406.4|	2065	1801.425	18758.318236	388.000
gi|40445391|ref|NR_001591.1|	1483	1179.425	22226.676442	301.000
gi|338970360|ref|NR_040115.1|	1539	1289.425	19925.273452	295.000
gi|103471990|ref|NM_175878.3|	1700	1429.425	23640.067504	388.000
gi|151301122|ref|NR_003607.1|	1381	1131.425	16780.661780	218.000
gi|83716020|ref|NM_001037814.1|	2630	2380.425	18329.962723	501.000
gi|168229201|ref|NR_015352.1|	2726	2476.425	18252.423492	519.000
gi|411147377|ref|NM_014339.6|	8608	8358.425	18369.875770	1763.000
gi|251823729|ref|NM_001163079.1|	3979	3711.425	20572.794727	876.709
gi|251823728|ref|NM_031890.3|	5043	4775.425	19555.947363	1072.291
gi|51093854|ref|NM_017829.5|	1734	1484.425	24789.935892	422.528
gi|51093855|ref|NM_033070.2|	1809	1559.425	20857.974410	373.472
gi|213512664|ref|NR_024483.1|	650	375.425	25286.090024	109.000
gi|213512645|ref|NR_024482.1|	356	89.454	31155.153450	32.000
gi|29029551|ref|NM_177405.1|	3071	2821.425	18188.519604	589.234
gi|29029549|ref|NM_017424.2|	3947	3682.425	16881.092393	713.766
gi|345525396|ref|NR_038398.2|	1915	1665.425	20447.020734	391.000
gi|270132321|ref|NM_031413.3|	5760	5510.425	17970.233745	1137.000
gi|13899341|ref|NM_031481.1|	2087	1837.425	20760.740917	438.000
gi|87159815|ref|NM_001039366.1|	1340	1090.425	22989.651027	287.839
gi|87159817|ref|NM_001039367.1|	1316	1066.425	21019.071409	257.374
gi|87159814|ref|NM_001696.3|	1406	1156.425	18811.770836	249.786
gi|398707252|ref|NM_015367.3|	5132	4882.425	19820.841471	1111.167
gi|398775379|ref|NM_001270731.1|	5062	4812.425	18212.455308	1006.362
gi|398775908|ref|NM_001270734.1|	4918	4668.425	16192.062604	867.949
gi|398775088|ref|NM_001270729.1|	4975	4725.425	15454.173087	838.510
gi|398775598|ref|NM_001270732.1|	4905	4655.425	19832.415854	1060.124
gi|398777064|ref|NM_001270735.1|	4761	4511.425	21722.115725	1125.220
gi|398774965|ref|NM_001270728.1|	4797	4547.425	16696.354792	871.784
gi|398774578|ref|NM_001270726.1|	4961	4711.425	17997.405629	973.607
gi|398774790|ref|NM_001270727.1|	4817	4567.425	17967.755658	942.295
gi|398775209|ref|NM_001270730.1|	4804	4554.425	22028.597887	1151.972
gi|398776358|ref|NR_073068.1|	4730	4480.425	16719.713571	860.141
gi|398776655|ref|NR_073069.1|	4713	4463.425	17630.738002	903.567
gi|398774358|ref|NM_001270733.1|	4347	4097.425	20730.331827	975.302
gi|347300409|ref|NM_001244567.1|	2128	1862.425	25701.304589	549.611
gi|347300417|ref|NM_001244570.1|	1936	1670.425	18835.888900	361.272
gi|347300412|ref|NM_197967.2|	2147	1881.425	13889.199224	300.045
gi|347300415|ref|NM_001244569.1|	2006	1740.425	27611.682812	551.785
gi|347300411|ref|NM_001196.3|	2217	1951.425	19941.461438	446.818
gi|347300422|ref|NM_001244572.1|	2254	1988.425	19098.996886	436.055
gi|347300421|ref|NM_197966.2|	2535	2269.425	17361.950414	452.414
gi|301171814|ref|NR_036168.1|	80	80.000	10886.502314	10.000
gi|209862788|ref|NM_015241.2|	9471	9192.425	18132.794585	1913.888
gi|170172517|ref|NM_001122731.1|	3384	3116.425	20842.460607	745.808
gi|209862792|ref|NM_001136004.1|	8091	7823.425	16946.606198	1522.304
