target_id	length	eff_length	est_counts	tpm
gi|424037187|ref|NR_073460.1|	725	476.175	285.991	49877.4
gi|424037186|ref|NR_073459.1|	746	497.175	0.00906021	1.51338
gi|209977002|ref|NM_001136213.1|	2037	1788.18	430	19969.9
gi|52546690|ref|NM_001005239.1|	981	732.175	244	27675.4
gi|51093856|ref|NM_014406.4|	2065	1816.18	427	19524.9
gi|40445391|ref|NR_001591.1|	1483	1234.18	341	22945.4
gi|338970360|ref|NR_040115.1|	1539	1290.18	291	18731.1
gi|103471990|ref|NM_175878.3|	1700	1451.18	367	21002.2
gi|151301122|ref|NR_003607.1|	1381	1132.18	303	22225.3
gi|83716020|ref|NM_001037814.1|	2630	2381.18	593	20681.5
gi|168229201|ref|NR_015352.1|	2726	2477.18	529	17734.4
gi|411147377|ref|NM_014339.6|	8608	8359.18	1800	17882.5
gi|251823729|ref|NM_001163079.1|	3979	3730.18	914.814	20366.8
gi|251823728|ref|NM_031890.3|	5043	4794.18	952.186	16494
gi|51093854|ref|NM_017829.5|	1734	1485.18	304.881	17047.9
gi|51093855|ref|NM_033070.2|	1809	1560.18	403.119	21457.4
gi|213512664|ref|NR_024483.1|	650	401.175	125.994	26081.7
gi|213512645|ref|NR_024482.1|	356	107.198	40.0057	30992.2
gi|29029551|ref|NM_177405.1|	3071	2822.18	655.331	19283.9
gi|29029549|ref|NM_017424.2|	3947	3698.18	700.669	15734.2
gi|345525396|ref|NR_038398.2|	1915	1666.18	414	20634.7
gi|270132321|ref|NM_031413.3|	5760	5511.18	1059	15957.7
gi|13899341|ref|NM_031481.1|	2087	1838.18	349	15767.3
gi|87159815|ref|NM_001039366.1|	1340	1091.18	288.101	21926.4
gi|87159817|ref|NM_001039367.1|	1316	1067.18	252.08	19616.5
gi|87159814|ref|NM_001696.3|	1406	1157.18	272.82	19579.2
gi|398707252|ref|NM_015367.3|	5132	4883.18	2451.98	41699.7
gi|398775379|ref|NM_001270731.1|	5062	4813.18	811.164	13995.7
gi|398775908|ref|NM_001270734.1|	4918	4669.18	396.243	7047.57
gi|398775088|ref|NM_001270729.1|	4975	4726.18	877.244	15414.5
gi|398775598|ref|NM_001270732.1|	4905	4656.18	783.209	13969
gi|398777064|ref|NM_001270735.1|	4761	4512.18	815.293	15005.3
gi|398774965|ref|NM_001270728.1|	4797	4548.18	854.591	15604.1
gi|398774578|ref|NM_001270726.1|	4961	4712.18	956.368	16854.7
gi|398774790|ref|NM_001270727.1|	4817	4568.18	936.008	17015.9
gi|398775209|ref|NM_001270730.1|	4804	4555.18	643.755	11736.4
gi|398776358|ref|NR_073068.1|	4730	4481.18	1026.34	19020.3
gi|398776655|ref|NR_073069.1|	4713	4464.18	1080.92	20108
gi|398774358|ref|NM_001270733.1|	4347	4098.18	711.893	14425.9
gi|347300409|ref|NM_001244567.1|	2128	1879.18	219.652	9707.01
gi|347300417|ref|NM_001244570.1|	1936	1687.18	433.173	21321.6
gi|347300412|ref|NM_197967.2|	2147	1898.18	359.111	15711.2
gi|347300415|ref|NM_001244569.1|	2006	1757.18	373.869	17669.4
gi|347300411|ref|NM_001196.3|	2217	1968.18	657.012	27722.2
gi|347300422|ref|NM_001244572.1|	2254	2005.18	419.831	17387.6
gi|347300421|ref|NM_197966.2|	2535	2286.18	520.353	18902
gi|301171814|ref|NR_036168.1|	80	12.9231	9	57835.5
gi|209862788|ref|NM_015241.2|	9471	9222.18	1892.63	17043.1
gi|170172517|ref|NM_001122731.1|	3384	3135.18	658.425	17440.7
gi|209862792|ref|NM_001136004.1|	8091	7842.18	1715.95	18171.3
